id;fr;en;primary;secondary;weightType;includeBodyweight
6922144d1c858345acc2d0d8;Rowing machine;Machine Row;lats;upper_back|biceps|forearms;external_machine;false
6922144d1c858345acc2d0db;Extension triceps corde;Tricep Rope Pushdown;triceps;deltoids_front;external_free;false
6922144d1c858345acc2d0de;Rowing haltères appui poitrine;Chest Supported Dumbbell Row;lats;upper_back|biceps|forearms;external_free;false
6922144d1c858345acc2d0e1;Épaulé-développé;Clean and Press;chest;deltoids_front|triceps;external_free;false
6922144d1c858345acc2d0e4;Soulevé de terre roumain haltères;Dumbbell Romanian Deadlift;hamstrings;glutes|spinal_erectors|quads;external_free;false
6922144d1c858345acc2d0e7;Squat bulgare;Bulgarian Split Squat;quads;glutes|hamstrings|calves;external_free;false
6922144d1c858345acc2d0ea;Rack Pull;Rack Pull;hamstrings;glutes|spinal_erectors;external_free;false
6922144d1c858345acc2d0ed;Squat barre guidée;Smith Machine Squat;quads;glutes|hamstrings|calves;external_machine;false
6922144d1c858345acc2d0f0;Extension triceps haltères;Dumbbell Tricep Extension;triceps;deltoids_front;external_free;false
6922144d1c858345acc2d0f3;Rowing Pendlay;Pendlay Row;lats;upper_back|biceps|forearms;external_free;false
6922144d1c858345acc2d0f6;Squat sur box;Box Squat;quads;glutes|hamstrings|calves;external_free;false
6922144d1c858345acc2d0f9;Curl biceps poulie;Cable Bicep Curl;biceps;forearms;external_machine;false
6922144d1c858345acc2d0fc;Curl haltères incliné;Incline Dumbbell Curl;biceps;forearms;external_free;false
6922144d1c858345acc2d0ff;Extension mollets assis;Seated Calf Raise;calves;;external_free;false
6922144d1c858345acc2d102;Tirage vertical prise serrée;Close Grip Lat Pulldown;lats;upper_back|biceps|forearms;external_machine;false
6922144d1c858345acc2d105;Rowing vertical;Upright Row;lats;upper_back|biceps|forearms;external_free;false
6922144d1c858345acc2d108;Presse verticale;Vertical Leg Press;chest|quads;deltoids_front|triceps|glutes|hamstrings|calves;external_free;false
6922144d1c858345acc2d10b;Curl biceps machine;Machine Bicep Curl;biceps;forearms;external_machine;false
6922144d1c858345acc2d10e;Crunchs assis machine;Machine Seated Crunch;abs;obliques|quads;external_machine;false
6922144d1c858345acc2d111;Jumping Jack;Jumping Jack;quads;calves|deltoids_side;external_free;false
6922144d1c858345acc2d114;Élévations latérales poulie;Cable Lateral Raise;deltoids_side;deltoids_front|deltoids_rear|triceps;external_machine;false
6922144d1c858345acc2d117;Squat Zercher;Zercher Squat;quads;glutes|hamstrings|calves;external_free;false
